,subj_idx,response,split_by,rt,trial,feedback,samp,type
57144,2,1.0,0,0.715,13,1.0,0,observed
57145,2,1.0,1,0.578,13,1.0,0,observed
57146,2,0.0,0,0.329,14,0.0,0,observed
57147,2,1.0,1,0.766,14,1.0,0,observed
57148,2,1.0,0,0.716,15,1.0,0,observed
57149,2,1.0,1,0.679,15,0.0,0,observed
57150,2,0.0,0,0.453,16,1.0,0,observed
57151,2,0.0,1,1.203,16,1.0,0,observed
57152,2,0.0,0,0.654,17,1.0,0,observed
57153,2,1.0,1,0.478,17,1.0,0,observed
57154,2,1.0,0,0.654,18,1.0,0,observed
57155,2,1.0,1,0.515,18,1.0,0,observed
57156,2,0.0,0,0.816,19,0.0,0,observed
57157,2,0.0,1,0.678,19,0.0,0,observed
57158,2,0.0,0,0.804,20,0.0,0,observed
57159,2,1.0,1,2.029,20,0.0,0,observed
57160,2,0.0,0,0.815,21,0.0,0,observed
57161,2,1.0,1,0.916,21,0.0,0,observed
57162,2,0.0,0,0.666,22,0.0,0,observed
57163,2,0.0,1,0.504,22,0.0,0,observed
57164,2,1.0,0,1.116,23,1.0,0,observed
57165,2,1.0,1,0.767,23,1.0,0,observed
57166,2,1.0,0,0.403,24,0.0,0,observed
57167,2,1.0,1,0.778,24,1.0,0,observed
57168,2,0.0,0,0.779,25,0.0,0,observed
57169,2,0.0,1,0.428,25,0.0,0,observed
57170,2,1.0,0,0.504,26,0.0,0,observed
57171,2,0.0,1,0.218,26,0.0,0,observed
57172,2,1.0,0,1.052,27,1.0,0,observed
57173,2,1.0,1,0.43,27,1.0,0,observed
57174,2,1.0,0,1.917,28,1.0,0,observed
57175,2,1.0,1,0.754,28,1.0,0,observed
57176,2,1.0,0,0.764,29,0.0,0,observed
57177,2,1.0,1,0.653,29,0.0,0,observed
57178,2,0.0,0,0.255,30,1.0,0,observed
57179,2,1.0,1,0.542,30,1.0,0,observed
57180,2,0.0,0,0.334,31,1.0,0,observed
57181,2,0.0,1,1.267,31,0.0,0,observed
57182,2,1.0,0,0.566,32,1.0,0,observed
57183,2,1.0,1,0.244,32,1.0,0,observed
57184,2,0.0,0,0.728,33,0.0,0,observed
57185,2,1.0,1,1.617,33,1.0,0,observed
57186,2,1.0,0,0.992,34,1.0,0,observed
57187,2,0.0,1,0.763,34,1.0,0,observed
57188,2,1.0,0,2.427,35,1.0,0,observed
57189,2,1.0,1,0.828,35,1.0,0,observed
57190,2,0.0,0,1.039,36,0.0,0,observed
57191,2,0.0,1,0.391,36,0.0,0,observed
57192,2,1.0,0,0.279,37,1.0,0,observed
57193,2,1.0,1,0.703,37,1.0,0,observed
57194,2,1.0,0,0.655,38,1.0,0,observed
57195,2,0.0,1,0.479,38,1.0,0,observed
57196,2,1.0,0,0.664,39,1.0,0,observed
57197,2,1.0,1,0.523,39,1.0,0,observed
57198,2,1.0,0,0.679,40,1.0,0,observed
57199,2,1.0,1,0.465,40,1.0,0,observed
57200,2,0.0,0,0.335,41,1.0,0,observed
57201,2,0.0,1,0.408,41,1.0,0,observed
57202,2,0.0,0,0.675,42,1.0,0,observed
57203,2,1.0,1,0.528,42,1.0,0,observed
57204,2,0.0,0,0.452,43,0.0,0,observed
57205,2,0.0,1,0.397,43,1.0,0,observed
57206,2,1.0,0,0.392,44,1.0,0,observed
57207,2,0.0,1,0.367,44,0.0,0,observed
57208,2,0.0,0,0.279,45,1.0,0,observed
57209,2,1.0,1,0.479,45,1.0,0,observed
57210,2,1.0,0,0.94,46,1.0,0,observed
57211,2,1.0,1,0.566,46,1.0,0,observed
57212,2,0.0,0,0.404,47,1.0,0,observed
57213,2,0.0,1,0.967,47,0.0,0,observed
57214,2,1.0,0,0.691,48,1.0,0,observed
57215,2,1.0,1,0.443,48,1.0,0,observed
57216,2,0.0,0,0.666,49,1.0,0,observed
57217,2,1.0,1,0.49,49,0.0,0,observed
57218,2,1.0,0,0.453,50,1.0,0,observed
57219,2,1.0,1,1.092,50,1.0,0,observed
57220,2,0.0,0,0.704,51,1.0,0,observed
57221,2,0.0,1,0.604,51,0.0,0,observed
57222,2,1.0,0,0.579,52,0.0,0,observed
57223,2,0.0,1,1.018,52,1.0,0,observed
57224,2,0.0,0,0.503,53,0.0,0,observed
57225,2,0.0,1,0.886,53,0.0,0,observed
57226,2,0.0,0,0.397,54,0.0,0,observed
57227,2,1.0,1,0.466,54,0.0,0,observed
57228,2,1.0,0,0.371,55,0.0,0,observed
57229,2,1.0,1,0.381,55,1.0,0,observed
57230,2,1.0,0,0.178,56,1.0,0,observed
57231,2,0.0,1,0.566,56,1.0,0,observed
57232,2,1.0,0,0.728,57,0.0,0,observed
57233,2,1.0,1,0.516,57,0.0,0,observed
57234,2,0.0,0,0.391,58,1.0,0,observed
57235,2,1.0,1,0.712,58,0.0,0,observed
57236,2,0.0,0,0.69,59,0.0,0,observed
57237,2,1.0,1,1.905,59,1.0,0,observed
57238,2,1.0,0,1.192,60,1.0,0,observed
57239,2,0.0,1,0.464,60,0.0,0,observed
57240,2,0.0,0,0.578,61,1.0,0,observed
57241,2,1.0,1,0.391,61,0.0,0,observed
57242,2,1.0,0,0.403,62,1.0,0,observed
57243,2,1.0,1,0.38,62,0.0,0,observed
57244,2,0.0,0,0.604,63,0.0,0,observed
57245,2,1.0,1,0.342,63,0.0,0,observed
57246,2,1.0,0,0.31,64,0.0,0,observed
57247,2,0.0,1,0.566,64,0.0,0,observed
57248,2,1.0,0,0.421,65,1.0,0,observed
57249,2,1.0,1,0.351,65,0.0,0,observed
57250,2,0.0,0,0.265,66,0.0,0,observed
57251,2,1.0,1,0.954,66,1.0,0,observed
57252,2,1.0,0,0.242,67,1.0,0,observed
57253,2,0.0,1,0.627,67,0.0,0,observed
57254,2,1.0,0,0.678,68,1.0,0,observed
57255,2,1.0,1,1.13,68,1.0,0,observed
57256,2,1.0,0,0.578,69,1.0,0,observed
57257,2,1.0,1,0.729,69,1.0,0,observed
57258,2,1.0,0,0.365,70,1.0,0,observed
57259,2,1.0,1,0.516,70,1.0,0,observed
57260,2,1.0,0,0.504,71,1.0,0,observed
57261,2,1.0,1,0.506,71,1.0,0,observed
57262,2,1.0,0,0.405,72,1.0,0,observed
57263,2,1.0,1,0.487,72,1.0,0,observed
57264,2,1.0,0,0.403,73,1.0,0,observed
57265,2,1.0,1,0.617,73,1.0,0,observed
57266,2,1.0,0,0.442,74,1.0,0,observed
57267,2,1.0,1,0.352,74,1.0,0,observed
57268,2,1.0,0,0.428,75,1.0,0,observed
57269,2,1.0,1,0.366,75,1.0,0,observed
57270,2,1.0,0,0.478,76,1.0,0,observed
57271,2,1.0,1,0.565,76,1.0,0,observed
57272,2,1.0,0,0.467,77,1.0,0,observed
57273,2,1.0,1,0.383,77,1.0,0,observed
57274,2,1.0,0,0.315,78,1.0,0,observed
57275,2,1.0,1,0.351,78,1.0,0,observed
57276,2,1.0,0,0.514,79,1.0,0,observed
57277,2,1.0,1,0.404,79,1.0,0,observed
57278,2,1.0,0,0.666,80,1.0,0,observed
57279,2,1.0,1,0.662,80,1.0,0,observed
57280,2,0.0,0,0.485,81,0.0,0,observed
57281,2,0.0,1,0.647,81,0.0,0,observed
57282,2,1.0,0,0.416,82,0.0,0,observed
57283,2,1.0,1,0.904,82,0.0,0,observed
57284,2,0.0,0,0.969,83,0.0,0,observed
57285,2,1.0,1,0.804,83,1.0,0,observed
57286,2,0.0,0,0.306,84,1.0,0,observed
57287,2,0.0,1,0.515,84,0.0,0,observed
57288,2,1.0,0,0.38,85,1.0,0,observed
57289,2,1.0,1,0.379,85,1.0,0,observed
57290,2,1.0,0,0.354,86,0.0,0,observed
57291,2,1.0,1,0.666,86,1.0,0,observed
57292,2,1.0,0,0.504,87,1.0,0,observed
57293,2,0.0,1,1.014,87,1.0,0,observed
57294,2,0.0,0,0.665,88,1.0,0,observed
57295,2,1.0,1,0.317,88,1.0,0,observed
57296,2,1.0,0,0.477,89,0.0,0,observed
57297,2,1.0,1,0.718,89,1.0,0,observed
57298,2,0.0,0,2.042,90,0.0,0,observed
57299,2,0.0,1,0.417,90,1.0,0,observed
57300,2,1.0,0,0.453,91,1.0,0,observed
57301,2,1.0,1,0.401,91,0.0,0,observed
57302,2,0.0,0,0.29,92,1.0,0,observed
57303,2,0.0,1,0.455,92,1.0,0,observed
